File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF436SJS	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DYV	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										MAFK-human	DNA						2012-08-20	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF042LWY/, /files/ENCFF863XTX/, /files/ENCFF215TIO/, /files/ENCFF278NPZ/, /files/ENCFF683ICJ/, /files/ENCFF381MCA/	135155	ENCODE Processing Pipeline	f6021852cedf049968eb0469a65a226a		https://www.encodeproject.org/files/ENCFF436SJS/@@download/ENCFF436SJS.bed.gz				released	s3://encode-public/2021/01/08/a771abce-d90f-41a5-8a1e-ea6e1f330826/ENCFF436SJS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/08/a771abce-d90f-41a5-8a1e-ea6e1f330826/ENCFF436SJS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	improper control_type of control experiment, low read length		
ENCFF127ZZG	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR414WBQ	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:NFIB'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/4781/'], '@type': ['Target', 'Item'], 'label': 'NFIB', 'title': 'NFIB (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'b6883657-0524-4e08-b5e2-707edd69f179', 'schema_version': '14', 'name': 'NFIB-human', '@id': '/targets/NFIB-human/', 'status': 'released'}				NFIB-human	DNA				formaldehyde		2021-08-13	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF272GBE/, /files/ENCFF356LFX/, /files/ENCFF310KFM/, /files/ENCFF587HGB/	48068	ENCODE Processing Pipeline	ee7917d87ebd54a7e49a0afcb540b1be		https://www.encodeproject.org/files/ENCFF127ZZG/@@download/ENCFF127ZZG.bed.gz				released	s3://encode-public/2021/08/02/f72c94a5-930d-492d-bf60-1f94dfb2623c/ENCFF127ZZG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/08/02/f72c94a5-930d-492d-bf60-1f94dfb2623c/ENCFF127ZZG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.0 GRCh38	released	missing genetic modification reagents, borderline replicate concordance, mild to moderate bottlenecking		
ENCFF821GUI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000ECA	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										JUN-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF102CGF/, /files/ENCFF815LHP/, /files/ENCFF972YCC/	51634	ENCODE Processing Pipeline	87c44e535cd63d9148fd57c810268567		https://www.encodeproject.org/files/ENCFF821GUI/@@download/ENCFF821GUI.bed.gz				released	s3://encode-public/2020/12/10/35e87bf0-0a02-4b30-93b1-a211e0bbbd70/ENCFF821GUI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/10/35e87bf0-0a02-4b30-93b1-a211e0bbbd70/ENCFF821GUI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	improper control_type of control experiment, low read length, mild to moderate bottlenecking, low read depth		
ENCFF896SEI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DZM	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										STAT1-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF042LWY/, /files/ENCFF151XBJ/, /files/ENCFF683ICJ/, /files/ENCFF377CVY/, /files/ENCFF356LFX/, /files/ENCFF658PBP/	73807	ENCODE Processing Pipeline	508a5736089bed4cecb974c4085e5ddf		https://www.encodeproject.org/files/ENCFF896SEI/@@download/ENCFF896SEI.bed.gz				released	s3://encode-public/2021/01/08/f5ee46ac-8459-4715-a9ed-4c542aaa789e/ENCFF896SEI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/08/f5ee46ac-8459-4715-a9ed-4c542aaa789e/ENCFF896SEI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth		
ENCFF425IRA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000ECK	TF ChIP-seq	/human-donors/ENCDO000AAB/	EFO:0002791	HeLa-S3	cell line	Homo sapiens										MAFK-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF989ZLF/, /files/ENCFF200BSA/, /files/ENCFF533LDY/, /files/ENCFF356LFX/	269451	ENCODE Processing Pipeline	18673566356bdae515a0f4562abcacdf		https://www.encodeproject.org/files/ENCFF425IRA/@@download/ENCFF425IRA.bed.gz				released	s3://encode-public/2020/12/12/65173126-c31b-44d3-a56a-68af14a55bdc/ENCFF425IRA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/12/65173126-c31b-44d3-a56a-68af14a55bdc/ENCFF425IRA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	improper control_type of control experiment, low read length, borderline replicate concordance, low read depth		
ENCFF371LUB	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR210HBN	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/64376/'], '@type': ['Target', 'Item'], 'name': 'IKZF5-human', 'label': 'IKZF5', '@id': '/targets/IKZF5-human/', 'title': 'IKZF5 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '58d02918-2f5a-4799-9e26-f070f52be39e', 'status': 'released'}				IKZF5-human	DNA						2018-02-12	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF723HPB/, /files/ENCFF243YMX/, /files/ENCFF104ZPB/, /files/ENCFF356LFX/	526501	ENCODE Processing Pipeline	751e3f345bcc37e7f6efd4ad2edb0226		https://www.encodeproject.org/files/ENCFF371LUB/@@download/ENCFF371LUB.bed.gz				released	s3://encode-public/2020/12/01/42746904-1a38-4dba-83ee-cdfffa7375be/ENCFF371LUB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/01/42746904-1a38-4dba-83ee-cdfffa7375be/ENCFF371LUB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	missing genetic modification reagents, missing compliant biosample characterization, mild to moderate bottlenecking		
ENCFF608JKY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EIC	TF ChIP-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens										CTCF-human	DNA						2012-08-20	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF608OMK/, /files/ENCFF495DZQ/, /files/ENCFF704TGU/, /files/ENCFF951GWF/	897026	ENCODE Processing Pipeline	799e5483ab42aa8c11f2622152be275b		https://www.encodeproject.org/files/ENCFF608JKY/@@download/ENCFF608JKY.bed.gz				released	s3://encode-public/2020/09/25/32ea7444-bd8b-4916-89c2-b5073a264f94/ENCFF608JKY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/25/32ea7444-bd8b-4916-89c2-b5073a264f94/ENCFF608JKY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	improper control_type of control experiment, low read length, mild to moderate bottlenecking, low read depth		
ENCFF744HVD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EHG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										USF2-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF526PJI/, /files/ENCFF396DTD/, /files/ENCFF356LFX/, /files/ENCFF332TRZ/	67723	ENCODE Processing Pipeline	9e1e6d57dfac1bad9fa19e5a3c14b955		https://www.encodeproject.org/files/ENCFF744HVD/@@download/ENCFF744HVD.bed.gz				released	s3://encode-public/2020/12/12/06da914d-ea15-40ca-8402-bdc066d57021/ENCFF744HVD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/12/06da914d-ea15-40ca-8402-bdc066d57021/ENCFF744HVD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	improper control_type of control experiment, low read length, low read depth		
ENCFF649UCX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR674SCQ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens					insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-889'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/117608/'], '@type': ['Target', 'Item'], 'name': 'ZNF354B-human', 'label': 'ZNF354B', '@id': '/targets/ZNF354B-human/', 'title': 'ZNF354B (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '884a77b4-f554-49c3-9f34-d4fa90bdefd2', 'status': 'released'}		hg19 5 178165941 178337239		ZNF354B-human	DNA						2017-02-13	ENCODE				1, 2	1_1, 2_1							/files/ENCFF094PYH/, /files/ENCFF356LFX/, /files/ENCFF065MLC/, /files/ENCFF521IRV/	81483	ENCODE Processing Pipeline	6b3494b7bfd50d50d1ba3763b47c599d		https://www.encodeproject.org/files/ENCFF649UCX/@@download/ENCFF649UCX.bed.gz				released	s3://encode-public/2020/12/03/a11966fe-3fb4-484a-985d-371498e48e16/ENCFF649UCX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/03/a11966fe-3fb4-484a-985d-371498e48e16/ENCFF649UCX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, missing compliant biosample characterization, missing genetic modification characterization		
ENCFF347UBA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR019NPF	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/389058/'], '@type': ['Target', 'Item'], 'name': 'SP5-human', 'label': 'SP5', '@id': '/targets/SP5-human/', 'title': 'SP5 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '97e91059-8ae4-47fd-8a81-da422e41579a', 'status': 'released'}				SP5-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF557FLC/, /files/ENCFF723HPB/, /files/ENCFF655UPD/	408649	ENCODE Processing Pipeline	e1b95dc7deb2fadfb5cd5a50db034e18		https://www.encodeproject.org/files/ENCFF347UBA/@@download/ENCFF347UBA.bed.gz				released	s3://encode-public/2020/12/01/5ced20b2-bf8a-49ab-bdfa-fa8f146ac6b7/ENCFF347UBA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/01/5ced20b2-bf8a-49ab-bdfa-fa8f146ac6b7/ENCFF347UBA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, low read depth		
ENCFF024BHX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR829WBA	TF ChIP-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1778'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/5017/'], '@type': ['Target', 'Item'], 'name': 'OVOL1-human', 'label': 'OVOL1', '@id': '/targets/OVOL1-human/', 'title': 'OVOL1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '35bbee27-ef72-4ccc-ab88-d81772f61073', 'status': 'released'}				OVOL1-human	DNA				formaldehyde		2020-07-08	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF384KIN/, /files/ENCFF341DTL/, /files/ENCFF356LFX/, /files/ENCFF676OIV/	410079	ENCODE Processing Pipeline	06721813a9ce7dda622389e3f81f2a7f		https://www.encodeproject.org/files/ENCFF024BHX/@@download/ENCFF024BHX.bed.gz				released	s3://encode-public/2020/06/30/d801b256-0ead-4aed-85b1-2b6b962239c3/ENCFF024BHX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/06/30/d801b256-0ead-4aed-85b1-2b6b962239c3/ENCFF024BHX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
ENCFF299VRF	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR631WAA	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1577'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7709/'], '@type': ['Target', 'Item'], 'name': 'ZBTB17-human', 'label': 'ZBTB17', '@id': '/targets/ZBTB17-human/', 'title': 'ZBTB17 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e86aede1-f151-4dd7-b5a7-ebe79f73db60', 'status': 'released'}				ZBTB17-human	DNA				formaldehyde		2016-10-25	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF490JCT/, /files/ENCFF654JHZ/, /files/ENCFF356LFX/, /files/ENCFF928CJD/, /files/ENCFF800IMV/, /files/ENCFF451CVJ/, /files/ENCFF065LBX/, /files/ENCFF190AZK/, /files/ENCFF949NGG/, /files/ENCFF709TVD/, /files/ENCFF919EDN/, /files/ENCFF533HJT/, /files/ENCFF482RWP/, /files/ENCFF580LJP/, /files/ENCFF856XMU/, /files/ENCFF489ERC/, /files/ENCFF905YEA/, /files/ENCFF585IQN/, /files/ENCFF785BTW/, /files/ENCFF383QIP/, /files/ENCFF500XPF/, /files/ENCFF995CPW/, /files/ENCFF528DFI/, /files/ENCFF736OSY/, /files/ENCFF425NTG/, /files/ENCFF847EHD/, /files/ENCFF705BZZ/	1248304	ENCODE Processing Pipeline	d4f028af951fc3458ff8762a13c7d021		https://www.encodeproject.org/files/ENCFF299VRF/@@download/ENCFF299VRF.bed.gz				released	s3://encode-public/2020/08/06/89ada861-cd47-40cb-af1e-44e9fd96848e/ENCFF299VRF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/06/89ada861-cd47-40cb-af1e-44e9fd96848e/ENCFF299VRF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	missing biosample characterization, missing genetic modification characterization		
ENCFF060MHX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR891KPP	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/100507290/'], '@type': ['Target', 'Item'], 'name': 'ZNF865-human', 'label': 'ZNF865', '@id': '/targets/ZNF865-human/', 'title': 'ZNF865 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '6b2c8e54-70f4-41f1-96f6-9b970cc5b523', 'status': 'released'}				ZNF865-human	DNA				formaldehyde		2021-08-13	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF745LUZ/, /files/ENCFF356LFX/, /files/ENCFF954YHR/, /files/ENCFF202QBG/	379568	ENCODE Processing Pipeline	b640c5f93b98d5efa76f6ead4dd565ed		https://www.encodeproject.org/files/ENCFF060MHX/@@download/ENCFF060MHX.bed.gz				released	s3://encode-public/2021/08/02/e6927313-974b-4f91-9e79-0bdb133395c4/ENCFF060MHX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/08/02/e6927313-974b-4f91-9e79-0bdb133395c4/ENCFF060MHX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.0 GRCh38	released	missing genetic modification reagents, borderline replicate concordance, mild to moderate bottlenecking		
ENCFF415MKA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR567NTZ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1664'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6939/'], '@type': ['Target', 'Item'], 'name': 'TCF15-human', 'label': 'TCF15', '@id': '/targets/TCF15-human/', 'title': 'TCF15 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'fa33e916-4768-45fa-bdc5-a1eaa1bb24c9', 'status': 'released'}				TCF15-human	DNA						2022-01-05	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF257NVZ/, /files/ENCFF470AOM/, /files/ENCFF174OKT/	64197	ENCODE Processing Pipeline	a64daf572aa7d4a59739d89b7951b32c		https://www.encodeproject.org/files/ENCFF415MKA/@@download/ENCFF415MKA.bed.gz				released	s3://encode-public/2021/12/22/16f9b0dc-bfd1-493f-a48f-3e3a0656fcf1/ENCFF415MKA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/12/22/16f9b0dc-bfd1-493f-a48f-3e3a0656fcf1/ENCFF415MKA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, inconsistent platforms, moderate library complexity		
ENCFF647HXE	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR972LYL	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0008952	upper lobe of left lung	tissue	Homo sapiens										CTCF-human	DNA						2016-12-08	ENCODE			450-650	1	1_1							/files/ENCFF806UPY/, /files/ENCFF356LFX/, /files/ENCFF264KEV/	674724	ENCODE Processing Pipeline	1246e5a73cbe5ff2e7de4a5c6b0b3faa		https://www.encodeproject.org/files/ENCFF647HXE/@@download/ENCFF647HXE.bed.gz				released	s3://encode-public/2020/08/13/51d897da-470a-4db4-98a1-97400ae28ea8/ENCFF647HXE.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/13/51d897da-470a-4db4-98a1-97400ae28ea8/ENCFF647HXE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption		
ENCFF906WDG	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR029ARE	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-592'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/374928/'], '@type': ['Target', 'Item'], 'name': 'ZNF773-human', 'label': 'ZNF773', '@id': '/targets/ZNF773-human/', 'title': 'ZNF773 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '63441b18-f2f4-4de7-a4ca-f9ac55e54704', 'status': 'released'}				ZNF773-human	DNA				formaldehyde		2020-07-08	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF706TMC/, /files/ENCFF622KNV/, /files/ENCFF356LFX/, /files/ENCFF657NDS/	126825	ENCODE Processing Pipeline	eaa5d4a64cad7953cbda939cc275b558		https://www.encodeproject.org/files/ENCFF906WDG/@@download/ENCFF906WDG.bed.gz				released	s3://encode-public/2020/07/04/70820563-1276-459a-bef5-dc1f442bacb2/ENCFF906WDG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/04/70820563-1276-459a-bef5-dc1f442bacb2/ENCFF906WDG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents, borderline replicate concordance		
ENCFF678QTH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR886OEO	TF ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens										EP300-human	DNA				formaldehyde		2017-10-19	GGR		sonication (Bioruptor Twin)	>200	2, 3	2_1, 3_1							/files/ENCFF690PEG/, /files/ENCFF040EMK/, /files/ENCFF439UUO/, /files/ENCFF138AMX/, /files/ENCFF356LFX/, /files/ENCFF928UTV/	236066	ENCODE Processing Pipeline	741f72e0121fbdb7017713b966085212		https://www.encodeproject.org/files/ENCFF678QTH/@@download/ENCFF678QTH.bed.gz				released	s3://encode-public/2021/01/03/1afaa0ed-52ac-412f-b1c3-b13570d04fb9/ENCFF678QTH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/03/1afaa0ed-52ac-412f-b1c3-b13570d04fb9/ENCFF678QTH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released			
ENCFF797VEK	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR780BBJ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										ZZZ3-human	DNA						2016-12-05	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF554APQ/, /files/ENCFF419XLP/, /files/ENCFF142RTQ/, /files/ENCFF735JLB/, /files/ENCFF356LFX/	50282	ENCODE Processing Pipeline	678890fad02b2efed83be109df3b49db		https://www.encodeproject.org/files/ENCFF797VEK/@@download/ENCFF797VEK.bed.gz				released	s3://encode-public/2020/12/02/27096b90-61d3-4e75-857f-303884654db3/ENCFF797VEK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/02/27096b90-61d3-4e75-857f-303884654db3/ENCFF797VEK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking, moderate library complexity		
